what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1367165268798
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1367165268798
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1367165268798
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1367165268799
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1367165268799
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1367165268799
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1367165268800
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1367165268800
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1367165268800
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1367165268800
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1367165268801
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1367165268801
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1367165268802
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1367165268803
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1367165268803
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1367165268803
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1367165268803
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1367165268804
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1367165268804
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1367165268804
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1367165268805
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1367165268805
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1367165268806
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1367165268806
os,sysinfo,,,"linux",1367165268809
arch,sysinfo,,,"x86",1367165268809
ws,sysinfo,,,"gtk",1367165268809
locale,sysinfo,,,"en_US",1367165268809
processors,sysinfo,,,"4",1367165268809
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1367165268809
java.runtime.version,sysinfo,,,"1.7.0_09-b30",1367165268809
java.specification.name,sysinfo,,,"Java Platform API Specification",1367165268809
java.specification.vendor,sysinfo,,,"Oracle Corporation",1367165268809
java.specification.version,sysinfo,,,"1.7",1367165268809
java.vendor,sysinfo,,,"Oracle Corporation",1367165268809
java.version,sysinfo,,,"1.7.0_09",1367165268809
java.vm.info,sysinfo,,,"mixed mode, sharing",1367165268809
java.vm.name,sysinfo,,,"OpenJDK Client VM",1367165268809
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1367165268809
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1367165268809
java.vm.specification.version,sysinfo,,,"1.7",1367165268809
java.vm.vendor,sysinfo,,,"Oracle Corporation",1367165268809
java.vm.version,sysinfo,,,"23.2-b09",1367165268809
